,titulo
2577,painel ensino ihc
2578,formandos
2586,alguma novidade edital ciclo algum canal unicação formandos
2594,evento educação financeira agir momentos incerteza
2595,pelada bti
2610,trancamento matrícula
2614,permuta turno integral noturno
2615,eleição coordenação bti
2616,ajuda projeto lp
2625,professor lp noturno
2644,seleção bolsistas petccufrn
2646,vaga empregoestágio
2647,imd sistemas operacionais t
2660,assembleia mensal daal ocorrerá hoje
2663,vaga coordenador ti
2666,seleção alunos bolsistas ic lappsnpiti
2668,atenção procurase voluntários staff maratona programação
2669,cronograma dispensa proficiência
2676,disciplinas férias
2693,oportunidade bolsa ic
2699,datas proficiências
2707,vaga indisponivel
2709,seleção alunosas iniciação científica tema engenharias engajadas ee
2710,divulgação evento ieee week
2712,seleção alunosas iniciação científica tema negócios impacto social nis
2713,seleção voluntários monitoria pensasmento computacional itp
2714,inscrições abertas potiguar rocket design
2715,bolsa técnico aluno ti
2716,sistemas operacionais professor
2720,disciplinas eletivas
2728,consegui vaga introdução técnicas programação disciplina semestre
2732,semestre insatisfação
2798,cadastrar email institucional
2803,ieee week
2806,prazo inscrição maratona desconto hoje agosto
2807,turma lp edb noite
2829,regime domiciliar
2831,disciplina optativa aprendizado máquina bioinformática
2832,mudança turno integrado noturno
2834,consulta turma arquitetura computadores presencial
2866,inscrições maratona programação
2871,interesse abertura turma lp
2881,turma sistemas operacionais
2890,interesse turma lp
2913,cursos férias
2926,turma matemática elementar
2942,disciplinas ead
2956,planos curso ponentes dim bcc bticomputação
2957,turmas lp ii edb ii
2963,poucas opções disciplinas noturnas
2983,dim visão computacional
2984,turmas ead
2990,dúvida aproveitamento cursos online grade
2991,planos curso turmas semestre
2996,matrículas iniciaram hoje sigaa ficará indisponível semana
2997,proficiência práticas leitura escrita português ii
2999,permuta turno integral noturno
3007,permuta turno integral noturno
3009,formandos inserção documentos sigaa
3017,portal pes gerando certificado
3022,turno noturno curso engenharia software
3051,mudança grade
3061,fmc férias
3066,solicitação mudança ênfaseestrutura curricular
3071,permuta turno integral noturno
3072,perdi email institucional
3075,oportunidade empregoestágio
3076,reprovações pós pandemia
3086,v workshop redes avançadas v wtr natal
3095,reingresso º ciclo bcc bes
