,titulo
2834,consulta turmo arquitetura computador presencial
2866,inscrição maratonar programação
2871,interesse abertura turmo
2881,turma sistema operacional
2890,interesse turma
2913,curso féria
2926,turma matemático elementar
2942,disciplina ead
2956,plano curso ponente dim bcc bticomputação
2957,turma edb
2963,pouco opção disciplino noturno
2983,dim visão computacional
2984,turma ead
2990,dúvida aproveitamento curso onliner grade
2991,plano curso turma semestre
2996,matrícula iniciar hoje sigaa ficar indisponível semana
2997,proficiêncer prática leitura escrito português
2999,permuta turno integral noturno
3007,permuta turno integral noturno
3009,formando inserção documento sigaa
3017,portal pes gerar certificar
3022,turno noturno curso engenharia software
3051,mudança grade
3061,fmc férias
3066,solicitação mudanço ênfaseestrutura curricular
3071,permuta turno integral noturno
3072,perdi email institucional
3075,oportunidade empregoestágio
3076,reprovação pós pandemia
3086,Workshop rede avançar wtr natal
3095,reingresso ciclo bcc Bes
3100,questionário optativo semestre
3101,data batepapo escolha carreirar graduação
3102,curso extensão maratonar programação
3103,adiar batepapo escolha carreirar graduação
3104,cancelamento aulo
3110,respeito reunião recente reforma curso
3148,batepapo escolha carreirar graduação
3152,oportunidade bolso dimap
3153,perdi chave
3154,monitorio língua inglês vaga ser remunerar voluntário
3162,assembleia repar mensal daal dia horário
3163,rodar conversa Estresse burnout acadêmico
3164,dispensar disciplina
3167,curso certificação oficial nvidia online
3168,formando
3171,permutação norturno integral
3175,imperdível palestrar prof philip Wadler criador haskell
3176,conape oportunidade monitorio
3177,proposta disciplina matemática bti
3239,solitação aberturar turma período recesso
3245,vagar estágio doutor
3246,simpósio norte nordeste bioinformática julho campina
3248,vagar desenvolvedor
3250,oportunidade vago emprego
3251,solicitação aproveitamento matéria
3292,eleição diretório acadêmico lovelace daalbtir
3294,expresso imd caronar amigo
3310,caronar amiga coophab parnamirim
3313,semana indústrio
3314,formando telegr resolver questão colação
3315,enqueter grau satisfação preenchimento formulário avaliação semestral sigaa
3316,eleição daal chapo inscrita
3318,seleção bolso iniciação científico remunerar Laper²me
3319,programa miniemprês
3320,orientador
3322,abaixo assinar virtual segurança aluno imd
3384,inúmero assalto parada inverso residência universitário
3437,segurança imd ufrn
3452,pesquisa petcc melhor apoiar aluno bti Bes bcc
3453,eleição daal
3454,petcc ajudar
3455,seleção bolsisto proeidi projeto extensão inclusão digital idoso
3456,entrar coordenador
3458,covid
3460,edital seleção bolsista par imtrn
3463,carteirinhar estudante perder
3466,ofertar emprego comercial maranguape
3468,seleção monitorio algoritmos linguagem programação dim dim
3469,necessidade monitorio distribuição bolso
3472,treinamento petição programação
3473,oportunidade residêncio turma trern
3474,seleção monitorio ple português
3477,programa miniempresa imd
3478,pemuta turno diurno noturno
3480,apto prova dispenso disciplina
3483,monitoria fmcn oferecer projeto
3484,oportunidade emprego
3485,estágio
3486,dúvido quantidade ponente eletivo
3487,whatsapp matemáticar elementar imd turma sala
3488,Kitnet
3495,resposta coordenação reforma matemático bti
3496,comunidade dev hert
3499,computador estudo
3508,vaga estágio tiáreo afim remunerar esig group
3510,whatsapp ingressante
3516,prova proficiêncio
3517,whatsapp matemáticar elementar imd turma sala link
3520,trancamento disciplina
3522,feriado semana santo
3524,dispensar disciplina
3533,imd prática leitura escrito português iii
3536,zap pra professor Júlio
3538,liver boasvinr aluno ingressante
3539,indeferir novamente
3566,computador estudo
3570,deferimento solicitação proficiênciar
3577,indeferir
3646,brasileiro maratonar programação acontecer gramar
3651,turma imditp
3721,seleção monitor introdução tecnico programaçãoitp pensamento computacionalpc
3722,aproveitamento estudo
3724,vagar estágio
3726,turma
3730,disciplina eletivo
3733,turma itp
3734,reunião núcleo mulher
3739,mensagem boasvinr
3745,dim teste software
3750,circular linha passar campus
3752,turma edb
3754,aproveitamento matéria
3759,aluno
3765,permuta turno
3786,matricula onliner
3791,alto demanda baixo oferta vaga
3821,voltar pro planalto
3831,estudo dirigir imd mecânica balanceamento jogo
3843,bolsa portal disciplina
3845,turma oferecir formato distância semestre
3862,imd tópico especial iot ccna descriçãor disciplina
3864,solicitação componente curricular
3885,desenvolvimento sistema web
3888,componente bcc ênfase bticomputação
3889,disciplina sistema operacional imd
3894,
3897,curso Escola ver pet ciêncio computação
3899,atenção mudanço horário turmar imd
3900,trocar turno
3904,oferta disciplina remota presencial
3906,representação discente colegiar bcc
3908,permuta turno
3911,reingresso ciclo bcc Bes
3916,deferimento solicitação proficiênciar
3926,inscrição ingresso ciclo Besbcc
3927,solicitação mudanço ênfaseestrutura curricular
3931,oportunidade bolso técnico aluno
3936,aluno professoerr materia assíncron
3943,ppgeecufrn edital seleção mestrar doutorar
3947,consulta corpo discente dimap imd
3949,permuta turno
3950,utilização espaço imd estudo
3951,Reprovei matéria
3958,oportunidade estágio Secretaria planejamento Finanças seplan
3961,ingresso ciclo
3963,solicitação dispensar disciplina proficiência cronograma link
3976,convite participar pesquisa usar software edição vídeo
3977,seleção bolsista técnico administrativo Instituto Medicina tropical
3980,seleção bolso
3983,vagar estágio Secretaria planejamento Finanças seplan
3984,vagar estágio imediato
3986,feliz ano
3990,oportunidade bolso
3991,professor definir
3993,recesso secretario ppgite
3994,turma professor
4003,residência
4004,disciplina professor informação imd tópico especial inovação
4021,divulgação resultado eleição coordenação bcc
4022,processo eleitoral representante discente colegiar curso edital ppgti
4026,ete eleição coordenação bcc hoje
4027,ete eleição coordenação bcc
4028,formando
4031,evento Vii Workshop npitiimd
4034,Bolsa secretario inclusão acessibilidade
4036,evento hackathon inclusãor acessibilidade ufrn
4037,estágio dataprevr
4038,curso shell script
4042,evento Wie day papo acadêmico
4043,vagar uxui designer
4044,homologação inscrição coordenador vice bcc
4045,vaga desenvolvimento software remoto
4047,edb
4050,oportunidade trabalho
4051,enade
4052,pesquisaufrninstituto
4053,oportunidade bolso técnico de pp ufrn
4054,imd desenvolvimento dispositivo móvel
4065,repassar oportunidade analista sistemasdesenvolvedor ruby rail
4066,evento extensao adageo summit school data science based Geophysics
4067,seleção bolsista técnico administrativo laboratório estudo
4074,acesso gravação seminario putação
4076,uso laboratório estudo imd agendar via aplicativo
4083,aluno turma itp horario
4084,abertura vaga fmc itp
4085,convite oficina trajetório acadêmico hábito estudo
4092,matrícula extraordinário
4100,prazo solicitação permuta turno
4104,convite gorn
4106,requerimento proficiênciar
4112,prazo realização rematricula adiar hoje
4113,plano curso aprovar
4119,turma aberto
4126,indeferimento materia
4163,processamento matrícula matricular indeferir acontecer
4164,vagar programador júnior
4165,disciplina equivalente obrigatória ofertar dimap
4167,quantidade insuficiente vaga disciplina
4180,dúvida turma linguagem programação imd
4184,vaga técnico
4186,formando
4189,oportunidade bolso aluno graduação projeto sigsaude imdufrn
4190,inscrição time maratona programação saber Maissaiba
4192,edital mobilidade virtual andife inscrição bloco bloco
4197,formulário dispensar disciplina
4229,oportunidade emprego técnico
4232,previsão divulgação plano curso
4237,plano curso bcc ênfase bticomputação
4238,eleição representação discente
4241,inclusão imd ciência optativo
4243,grupo telegr estudante
4245,imd tópico especial Internet coisa graduação
4247,trancamento programa posteriori
4256,divulgação oportunidade bolso pesquisa projeto
4259,solicitação proficiênciar imd prática leitura escrito português
4267,urgente oportunidade bolso
4268,Bolsa técnico enviar email amanhã
4269,maratonar sebraeufrn empreendedorismo inovação
4271,convite participação pesquisa questionário
4273,oportunidade bolso técnico Centro tecnologia
